Interactor_A_ID,Interactor_B_ID,Interactor_A_Name,Interactor_B_Name,Interactor_A_Alias,Interactor_B_Alias,Interaction_detection_methods,First_author,Publications,Interactor_A_Taxonomy,Interactor_B_Taxonomy,Interaction_type,Source_database,Interaction_identifier,Confidence_score,EntrezA,EntrezB,HIDA,HIDB,osEntrezA,osEntrezB,Methods
O44518,P55163,CYFIP_CAEEL(gene name),GEX3_CAEEL(gene name),-,-,psi-mi:MI:0007|psi-mi:MI:0018|psi-mi:MI:0006,-,pubmed:11877381,6239,6239,psi-mi:MI:0915,intact,EBI-1570251,0.682898235464114,176885,178191,22628,8384,20430,50884,anti tag coimmunoprecipitation | two hybrid | anti bait coimmunoprecipitation
G5EF96,Q9UAQ3,G5EF96_CAEEL(gene name),Q9UAQ3_CAEEL(gene name),-,-,psi-mi:MI:0004|psi-mi:MI:0018,-,pubmed:20627077|pubmed:20627078,6239,6239,psi-mi:MI:0915|psi-mi:MI:0407,biogrid,467564,0.64006249694854,172233,178619,21081,9045,13176,94090,affinity chromatography technology | two hybrid
Q9N4H6,Q9N4H6,Q9N4H6_CAEEL(gene name),Q9N4H6_CAEEL(gene name),-,-,psi-mi:MI:0397|psi-mi:MI:0398,-,pubmed:19123269,6239,6239,psi-mi:MI:0915,intact,EBI-2429160,0.637157751267298,190586,190586,7747,7747,14874,14874,two hybrid array | two hybrid pooling approach
Q9UAQ3,Q9UAQ3,Q9UAQ3_CAEEL(gene name),Q9UAQ3_CAEEL(gene name),-,-,psi-mi:MI:0018,-,pubmed:20627078,6239,6239,psi-mi:MI:0407,biogrid,467560,0.620540087343275,178619,178619,9045,9045,94090,94090,two hybrid
P0DM42,P10984,ACT3_CAEEL(gene name),ACT2_CAEEL(gene name),-,-,psi-mi:MI:0018,-,pubmed:18692475,6239,6239,psi-mi:MI:0407,biogrid,820426,0.620540087343275,179533,179534,74402,74402,11465,11465,two hybrid
P0DM42,P10986,ACT3_CAEEL(gene name),ACT4_CAEEL(gene name),-,-,psi-mi:MI:0018,-,pubmed:18692475,6239,6239,psi-mi:MI:0407,biogrid,820346,0.620540087343275,179533,180767,74402,74402,11465,11465,two hybrid
G5ED41,Q17390,CAND1_CAEEL(gene name),CUL2_CAEEL(gene name),-,-,psi-mi:MI:0007,-,pubmed:17609115,6239,6239,psi-mi:MI:0915,intact,EBI-1998090,0.617980582219215,180125,176806,10202,2662,71902,71745,anti tag coimmunoprecipitation
Q17391,Q17391,CUL3_CAEEL(gene name),CUL3_CAEEL(gene name),-,-,psi-mi:MI:0004,-,pubmed:17403899,6239,6239,psi-mi:MI:0915,biogrid,693055,0.617980582219215,178547,178547,2661,2661,26554,26554,affinity chromatography technology
Q8WQC9,Q8WQC9,Q8WQC9_CAEEL(gene name),Q8WQC9_CAEEL(gene name),-,-,psi-mi:MI:0018,-,pubmed:12445390,6239,6239,psi-mi:MI:0915,intact,EBI-341588,0.590415108207776,177336,177336,6384,6384,74006,74006,two hybrid
Q17390,Q2WF59,CUL2_CAEEL(gene name),ZER1_CAEEL(gene name),-,-,psi-mi:MI:0007,-,pubmed:17304241|pubmed:17609115,6239,6239,psi-mi:MI:0915,mint,4509171,0.584299580694698,176806,175249,2662,4621,71745,227693,anti tag coimmunoprecipitation
O45087,Q22799,O45087_CAEEL(gene name),DYL1_CAEEL(gene name),-,-,psi-mi:MI:0018,-,pubmed:18692475|pubmed:unassigned701,6239,6239,psi-mi:MI:0407|psi-mi:MI:0915,intact,EBI-6458000,0.57585414820074,177440,175922,37921,115597,13427,68097,two hybrid
P41932,Q95QC4,14331_CAEEL(gene name),DCLK_CAEEL(gene name),-,-,psi-mi:MI:0018|psi-mi:MI:0398,-,pubmed:14704431,6239,6239,psi-mi:MI:0407|psi-mi:MI:0915,intact,EBI-345287,0.540932528140063,178113,176639,56528,130530,22631,13175,two hybrid | two hybrid pooling approach
G5EFV8,G5EFV8,VPS52_CAEEL(gene name),VPS52_CAEEL(gene name),-,-,psi-mi:MI:0018,-,pubmed:21613545,6239,6239,psi-mi:MI:0407|psi-mi:MI:0915,intact,EBI-6398996,0.508108256181692,181018,181018,5756,5756,224705,224705,two hybrid
Q9U2X0,Q9U2X0,ANM1_CAEEL(gene name),ANM1_CAEEL(gene name),-,-,psi-mi:MI:0397,-,pubmed:19123269,6239,6239,psi-mi:MI:0915,intact,EBI-2421068,0.457333576287593,180326,180326,21477,21477,15469,15469,two hybrid array
Q17389,Q2WF59,CUL1_CAEEL(gene name),ZER1_CAEEL(gene name),-,-,psi-mi:MI:0004,-,pubmed:17304241,6239,6239,psi-mi:MI:0915,biogrid,682755,0.436978260328818,176466,175249,2663,4621,26965,227693,affinity chromatography technology
Q24117,Q24246,DYL1_DROME(gene name),DYIN_DROME(gene name),-,-,psi-mi:MI:0004|psi-mi:MI:0114|psi-mi:MI:0096,-,pubmed:15581372|pubmed:11914076|pubmed:17428790|pubmed:17570393|pubmed:16949604,7227,7227,psi-mi:MI:0915|psi-mi:MI:0914|psi-mi:MI:0407,biogrid,2483451,0.929725766019206,31405,44160,115597,37921,68097,13427,affinity chromatography technology | x-ray crystallography | pull down
P46867,Q9VRK9,KLP68_DROME(gene name),Q9VRK9_DROME(gene name),-,-,psi-mi:MI:0004|psi-mi:MI:0096,-,pubmed:19161286|pubmed:23029351|pubmed:27976831|pubmed:22486887,7227,7227,psi-mi:MI:0915|psi-mi:MI:0407,biogrid,2483761,0.893140526457063,39332,38611,55849,38266,16569,16568,affinity chromatography technology | pull down
P55162,Q9VF87,HEM_DROME(gene name),CYFIP_DROME(gene name),-,-,psi-mi:MI:0004|psi-mi:MI:0018,-,pubmed:22010197|pubmed:15385157|pubmed:15269173|pubmed:22036573,7227,7227,psi-mi:MI:0915|psi-mi:MI:0407,biogrid,654882,0.890752490874991,40462,41861,8384,7936,50884,76884,affinity chromatography technology | two hybrid
P29310,P29310,1433Z_DROME(gene name),1433Z_DROME(gene name),-,-,psi-mi:MI:0004|psi-mi:MI:0096|psi-mi:MI:0045,-,pubmed:19920133|pubmed:24147113|pubmed:unassigned4,7227,7227,psi-mi:MI:0915|psi-mi:MI:0407,intact,EBI-871070,0.849264387573151,36059,36059,56528,56528,22631,22631,affinity chromatography technology | pull down | experimental interaction detection
Q99323,Q99323,MYSN_DROME(gene name),MYSN_DROME(gene name),-,-,psi-mi:MI:0004|psi-mi:MI:0055|psi-mi:MI:0020|psi-mi:MI:0028,-,pubmed:17901043|pubmed:17989074|pubmed:21078954,7227,7227,psi-mi:MI:0915|psi-mi:MI:0407,intact,EBI-15892467,0.845050294361229,38001,38001,55941,55941,77579,77579,affinity chromatography technology | fluorescent resonance energy transfer | transmission electron microscopy | cosedimentation in solution
P07207,P07207,NOTCH_DROME(gene name),NOTCH_DROME(gene name),-,-,psi-mi:MI:0018|psi-mi:MI:0096,-,pubmed:7954795|pubmed:20479883,7227,7227,psi-mi:MI:0407,biogrid,2476974,0.767163607061753,31293,31293,32049,32049,18128,18128,two hybrid | pull down
Q9V3V6,Q9VFS8,Q9V3V6_DROME(gene name),PSMD9_DROME(gene name),-,-,psi-mi:MI:0004,-,pubmed:23622245|pubmed:22036573,7227,7227,psi-mi:MI:0915,biogrid,647642,0.754327515075514,42805,41672,2097,2106,19182,67151,affinity chromatography technology
P07207,P51140,NOTCH_DROME(gene name),DSH_DROME(gene name),-,-,psi-mi:MI:0004|psi-mi:MI:0018|psi-mi:MI:0397|psi-mi:MI:0045|psi-mi:MI:0096,-,pubmed:15772135|pubmed:22736244|pubmed:20495361|pubmed:8596950|pubmed:11719214|pubmed:unassigned4|pubmed:25294943,7227,7227,psi-mi:MI:0915|psi-mi:MI:0407|psi-mi:MI:0914,intact,EBI-9949445,0.74177894281248,31293,32078,32049,20928,18128,13544,affinity chromatography technology | two hybrid | two hybrid array | experimental interaction detection | pull down
Q24117,Q24117,DYL1_DROME(gene name),DYL1_DROME(gene name),-,-,psi-mi:MI:0096|psi-mi:MI:0045,-,pubmed:24920673|pubmed:unassigned4,7227,7227,psi-mi:MI:0407|psi-mi:MI:0915,intact,EBI-872214,0.727048829171741,31405,31405,115597,115597,68097,68097,pull down | experimental interaction detection
Q8IP45,Q9VKY2,Q8IP45_DROME(gene name),CAND1_DROME(gene name),-,-,psi-mi:MI:0004|psi-mi:MI:0096,-,pubmed:20691177,7227,7227,psi-mi:MI:0915|psi-mi:MI:0407,biogrid,692741,0.72400966844373,34896,34403,2661,10202,26554,71902,affinity chromatography technology | pull down
Q24311,Q9VKY2,CUL1_DROME(gene name),CAND1_DROME(gene name),-,-,psi-mi:MI:0004|psi-mi:MI:0096,-,pubmed:20691177,7227,7227,psi-mi:MI:0915|psi-mi:MI:0407,biogrid,692740,0.72400966844373,35742,34403,2663,10202,26965,71902,affinity chromatography technology | pull down
Q23983,Q24547,SNAP_DROME(gene name),STX1A_DROME(gene name),-,-,psi-mi:MI:0018|psi-mi:MI:0004|psi-mi:MI:0397,-,pubmed:12414991|pubmed:21316453|pubmed:14605208|pubmed:22036573|pubmed:16603075|pubmed:19079254,7227,7227,psi-mi:MI:0407|psi-mi:MI:0915,intact,EBI-262707,0.721136602870774,40233,42854,2839,37941,108124,20907,two hybrid | affinity chromatography technology | two hybrid array
Q9VPX5,Q9W277,Q9VPX5_DROME(gene name),Q9W277_DROME(gene name),-,-,psi-mi:MI:0018,-,pubmed:14605208,7227,7227,psi-mi:MI:0407|psi-mi:MI:0915,intact,EBI-274901,0.655964938087395,33295,37536,9433,6221,56433,65114,two hybrid
Q8IP45,Q8IP45,Q8IP45_DROME(gene name),Q8IP45_DROME(gene name),-,-,psi-mi:MI:0004,-,pubmed:18782863,7227,7227,psi-mi:MI:0915,biogrid,903873,0.617980582219215,34896,34896,2661,2661,26554,26554,affinity chromatography technology
Q9TVM2,Q9VGP4,XPO1_DROME(gene name),Q9VGP4_DROME(gene name),-,-,psi-mi:MI:0004,-,pubmed:22036573,7227,7227,psi-mi:MI:0915,biogrid,651394,0.617980582219215,34167,41367,2554,5874,103573,226432,affinity chromatography technology
Q24253,Q9VDC3,Q24253_DROME(gene name),Q9VDC3_DROME(gene name),-,-,psi-mi:MI:0004,-,pubmed:22036573,7227,7227,psi-mi:MI:0915,biogrid,646042,0.617980582219215,32987,42525,21972,3001,11764,232910,affinity chromatography technology
O76324,P54367,DCO_DROME(gene name),KC1A_DROME(gene name),-,-,psi-mi:MI:0004,-,pubmed:22036573,7227,7227,psi-mi:MI:0915,biogrid,651127,0.617980582219215,43673,32221,121695,111694,27373,93687,affinity chromatography technology
P12370,P12370,KAPC1_DROME(gene name),KAPC1_DROME(gene name),-,-,psi-mi:MI:0004,-,pubmed:28588207,7227,7227,psi-mi:MI:0915,biogrid,2477030,0.617980582219215,34284,34284,121718,121718,18749,18749,affinity chromatography technology
O62530,P91926,O62530_DROME(gene name),AP2A_DROME(gene name),-,-,psi-mi:MI:0004,-,pubmed:22036573,7227,7227,psi-mi:MI:0915,biogrid,646798,0.617980582219215,42642,33211,3000,5335,11773,11772,affinity chromatography technology
O62530,Q24253,O62530_DROME(gene name),Q24253_DROME(gene name),-,-,psi-mi:MI:0004,-,pubmed:22036573,7227,7227,psi-mi:MI:0915,biogrid,646436,0.617980582219215,42642,32987,3000,21972,11773,11764,affinity chromatography technology
O62530,Q9VDC3,O62530_DROME(gene name),Q9VDC3_DROME(gene name),-,-,psi-mi:MI:0004,-,pubmed:22036573,7227,7227,psi-mi:MI:0915,biogrid,647833,0.617980582219215,42642,42525,3000,3001,11773,232910,affinity chromatography technology
P24156,Q0E924,L2CC_DROME(gene name),Q0E924_DROME(gene name),-,-,psi-mi:MI:0004,-,pubmed:22036573,7227,7227,psi-mi:MI:0915,biogrid,646187,0.617980582219215,49168,46038,1980,5263,18673,12034,affinity chromatography technology
P91926,Q24253,AP2A_DROME(gene name),Q24253_DROME(gene name),-,-,psi-mi:MI:0004,-,pubmed:22036573,7227,7227,psi-mi:MI:0915,biogrid,645905,0.617980582219215,33211,32987,5335,21972,11772,11764,affinity chromatography technology
P91926,Q9VDC3,AP2A_DROME(gene name),Q9VDC3_DROME(gene name),-,-,psi-mi:MI:0004,-,pubmed:22036573,7227,7227,psi-mi:MI:0915,biogrid,645777,0.617980582219215,33211,42525,5335,3001,11772,232910,affinity chromatography technology
Q7KN75,Q7KN75,Q7KN75_DROME(gene name),Q7KN75_DROME(gene name),-,-,psi-mi:MI:0004,-,pubmed:21035573,7227,7227,psi-mi:MI:0915,biogrid,903946,0.617980582219215,37116,37116,38035,38035,110611,110611,affinity chromatography technology
Q24311,Q24311,CUL1_DROME(gene name),CUL1_DROME(gene name),-,-,psi-mi:MI:0004,-,pubmed:18782863,7227,7227,psi-mi:MI:0915,biogrid,903872,0.617980582219215,35742,35742,2663,2663,26965,26965,affinity chromatography technology
Q24547,Q24547,STX1A_DROME(gene name),STX1A_DROME(gene name),-,-,psi-mi:MI:0018,-,pubmed:16603075,7227,7227,psi-mi:MI:0915,intact,EBI-1628963,0.590415108207776,42854,42854,37941,37941,20907,20907,two hybrid
O61307,Q9VYN8,TENM_DROME(gene name),TENA_DROME(gene name),-,-,psi-mi:MI:0004,-,pubmed:22425994|pubmed:22426000,7227,7227,psi-mi:MI:0915,biogrid,2321534,0.584299580694698,40464,32183,22672,22673,23964,23965,affinity chromatography technology
P55824,Q7KU90,FAF_DROME(gene name),Q7KU90_DROME(gene name),-,-,psi-mi:MI:0004|psi-mi:MI:0045,-,pubmed:11825870|pubmed:unassigned4,7227,7227,psi-mi:MI:0915,intact,EBI-872866,0.552320559095893,43749,38846,3418,32172,22284,13854,affinity chromatography technology | experimental interaction detection
P07207,Q8T4G5,NOTCH_DROME(gene name),Q8T4G5_DROME(gene name),-,-,psi-mi:MI:0096,-,pubmed:25294943,7227,7227,psi-mi:MI:0914,intact,EBI-9949445,0.545505270368674,31293,39922,32049,4947,18128,69597,pull down
Q8T0U6,Q9V475,Q8T0U6_DROME(gene name),Q9V475_DROME(gene name),-,-,psi-mi:MI:0963|psi-mi:MI:0096,-,pubmed:21447707|pubmed:25294943,7227,7227,psi-mi:MI:0914,intact,EBI-9958577,0.503726116059114,44289,34896,37659,2661,19046,26554,interactome parallel affinity capture | pull down
P29310,Q24547,1433Z_DROME(gene name),STX1A_DROME(gene name),-,-,psi-mi:MI:0018,-,pubmed:14605208,7227,7227,psi-mi:MI:0407|psi-mi:MI:0915,intact,EBI-252571,0.486476618143154,36059,42854,56528,37941,22631,20907,two hybrid
O61307,Q9VVI3,TENM_DROME(gene name),NEDD4_DROME(gene name),-,-,psi-mi:MI:0007|psi-mi:MI:0096,-,pubmed:25294943,7227,7227,psi-mi:MI:0914,intact,EBI-9946542,0.484491485993304,40464,39958,22672,86986,23964,83814,anti tag coimmunoprecipitation | pull down
Q9TVM2,Q9VKY2,XPO1_DROME(gene name),CAND1_DROME(gene name),-,-,psi-mi:MI:0004,-,pubmed:22036573,7227,7227,psi-mi:MI:0915,biogrid,652675,0.478685700642917,34167,34403,2554,10202,103573,71902,affinity chromatography technology
Q9VYN8,Q9VYN8,TENA_DROME(gene name),TENA_DROME(gene name),-,-,psi-mi:MI:0004,-,pubmed:22425994,7227,7227,psi-mi:MI:0915,biogrid,2313177,0.478685700642917,32183,32183,22673,22673,23965,23965,affinity chromatography technology
Q7KY04,Q9VMQ8,Q7KY04_DROME(gene name),Q9VMQ8_DROME(gene name),-,-,psi-mi:MI:0004,-,pubmed:25453831,7227,7227,psi-mi:MI:0915,biogrid,2318034,0.478685700642917,36992,33774,100632,5756,19342,224705,affinity chromatography technology
O61307,O61307,TENM_DROME(gene name),TENM_DROME(gene name),-,-,psi-mi:MI:0004,-,pubmed:22425994,7227,7227,psi-mi:MI:0915,biogrid,2321536,0.478685700642917,40464,40464,22672,22672,23964,23964,affinity chromatography technology
P51140,Q9VRK9,DSH_DROME(gene name),Q9VRK9_DROME(gene name),-,-,psi-mi:MI:0004,-,pubmed:25063455,7227,7227,psi-mi:MI:0915,biogrid,2319746,0.478685700642917,32078,38611,20928,38266,13544,16568,affinity chromatography technology
O97182,P45888,O97182_DROME(gene name),ARP2_DROME(gene name),-,-,psi-mi:MI:0004,-,pubmed:22036573,7227,7227,psi-mi:MI:0915,biogrid,645519,0.478685700642917,34793,32623,4675,4181,56443,66713,affinity chromatography technology
P05130,P51140,KPC1_DROME(gene name),DSH_DROME(gene name),-,-,psi-mi:MI:0004,-,pubmed:12958364,7227,7227,psi-mi:MI:0915,biogrid,736407,0.478685700642917,48311,32078,55679,20928,18750,13544,affinity chromatography technology
P07207,Q9VVI3,NOTCH_DROME(gene name),NEDD4_DROME(gene name),-,-,psi-mi:MI:0004,-,pubmed:15620649,7227,7227,psi-mi:MI:0915,biogrid,2320955,0.478685700642917,31293,39958,32049,86986,18128,83814,affinity chromatography technology
Q01989,Q8MSB1,MYS9_DROME(gene name),Q8MSB1_DROME(gene name),-,-,psi-mi:MI:0004,-,pubmed:21368190,7227,7227,psi-mi:MI:0915,biogrid,2324668,0.478685700642917,42889,326135,56417,4298,17920,59003,affinity chromatography technology
O18332,Q9VZL3,O18332_DROME(gene name),Q9VZL3_DROME(gene name),-,-,psi-mi:MI:0004,-,pubmed:22036573,7227,7227,psi-mi:MI:0915,biogrid,651095,0.478685700642917,42524,38457,36154,36231,19324,106529,affinity chromatography technology
O46067,Q9VAL7,O46067_DROME(gene name),Q9VAL7_DROME(gene name),-,-,psi-mi:MI:0004,-,pubmed:22036573,7227,7227,psi-mi:MI:0915,biogrid,652166,0.478685700642917,31215,44643,4658,1324,12282,12330,affinity chromatography technology
P48462,Q8IP45,PP1B_DROME(gene name),Q8IP45_DROME(gene name),-,-,psi-mi:MI:0004,-,pubmed:21447707,7227,7227,psi-mi:MI:0915,biogrid,1419889,0.478685700642917,44289,34896,37659,2661,19046,26554,affinity chromatography technology
P48462,Q99323,PP1B_DROME(gene name),MYSN_DROME(gene name),-,-,psi-mi:MI:0004,-,pubmed:21447707,7227,7227,psi-mi:MI:0915,biogrid,1419591,0.478685700642917,44289,38001,37659,55941,19046,77579,affinity chromatography technology
Q7K110,Q9VAL7,Q7K110_DROME(gene name),Q9VAL7_DROME(gene name),-,-,psi-mi:MI:0004,-,pubmed:22036573,7227,7227,psi-mi:MI:0915,biogrid,647832,0.478685700642917,37029,44643,2214,1324,20014,12330,affinity chromatography technology
P91926,Q7KU90,AP2A_DROME(gene name),Q7KU90_DROME(gene name),-,-,psi-mi:MI:0004,-,pubmed:22265678,7227,7227,psi-mi:MI:0915,biogrid,679432,0.478685700642917,33211,38846,5335,32172,11772,13854,affinity chromatography technology
Q7YU24,Q8IMX7,MARF_DROME(gene name),MIRO_DROME(gene name),-,-,psi-mi:MI:0004,-,pubmed:27093086,7227,7227,psi-mi:MI:0915,biogrid,2324427,0.458306665890864,31581,42845,8915,56803,170731,59040,affinity chromatography technology
P07207,Q7KRR5,NOTCH_DROME(gene name),NGLY1_DROME(gene name),-,-,psi-mi:MI:0004,-,pubmed:22036573,7227,7227,psi-mi:MI:0915,biogrid,649423,0.458306665890864,31293,35527,32049,10117,18128,59007,affinity chromatography technology
Q7K110,Q9VZL3,Q7K110_DROME(gene name),Q9VZL3_DROME(gene name),-,-,psi-mi:MI:0004,-,pubmed:22036573,7227,7227,psi-mi:MI:0915,biogrid,646409,0.458306665890864,37029,38457,2214,36231,20014,106529,affinity chromatography technology
Q8IRH0,Q9V3V6,Q8IRH0_DROME(gene name),Q9V3V6_DROME(gene name),-,-,psi-mi:MI:0004,-,pubmed:22036573,7227,7227,psi-mi:MI:0915,biogrid,654957,0.458306665890864,38175,42805,36199,2097,19155,19182,affinity chromatography technology
P10987,P55162,ACT1_DROME(gene name),HEM_DROME(gene name),-,-,psi-mi:MI:0018,-,pubmed:12900458,7227,7227,psi-mi:MI:0915,intact,EBI-915371,0.457333576287593,31521,40462,74402,8384,11465,50884,two hybrid
O61307,Q9VIH7,TENM_DROME(gene name),SKY_DROME(gene name),-,-,psi-mi:MI:0096,-,pubmed:25294943,7227,7227,psi-mi:MI:0914,intact,EBI-9952935,0.445403188134077,40464,35359,22672,27469,23964,224617,pull down
O61307,Q9TVM2,TENM_DROME(gene name),XPO1_DROME(gene name),-,-,psi-mi:MI:0096,-,pubmed:25294943,7227,7227,psi-mi:MI:0914,intact,EBI-9952935,0.445403188134077,40464,34167,22672,2554,23964,103573,pull down
O61307,Q24246,TENM_DROME(gene name),DYIN_DROME(gene name),-,-,psi-mi:MI:0007,-,pubmed:25294943,7227,7227,psi-mi:MI:0914,intact,EBI-9921261,0.445403188134077,40464,44160,22672,37921,23964,13427,anti tag coimmunoprecipitation
Q9V475,Q9VDW6,Q9V475_DROME(gene name),DMDA_DROME(gene name),-,-,psi-mi:MI:0096,-,pubmed:25294943,7227,7227,psi-mi:MI:0914,intact,EBI-9964850,0.445403188134077,34896,42327,2661,20856,26554,13405,pull down
O61307,P55824,TENM_DROME(gene name),FAF_DROME(gene name),-,-,psi-mi:MI:0096,-,pubmed:25294943,7227,7227,psi-mi:MI:0914,intact,EBI-9946542,0.445403188134077,40464,43749,22672,3418,23964,22284,pull down
O61307,Q9VDW3,TENM_DROME(gene name),DMDB_DROME(gene name),-,-,psi-mi:MI:0007,-,pubmed:25294943,7227,7227,psi-mi:MI:0914,intact,EBI-9921261,0.445403188134077,40464,42327,22672,20856,23964,13405,anti tag coimmunoprecipitation
O61307,Q9W4E2,TENM_DROME(gene name),NBEA_DROME(gene name),-,-,psi-mi:MI:0096,-,pubmed:25294943,7227,7227,psi-mi:MI:0914,intact,EBI-9946542,0.445403188134077,40464,44531,22672,69190,23964,26422,pull down
P07207,Q9VDP5,NOTCH_DROME(gene name),Q9VDP5_DROME(gene name),-,-,psi-mi:MI:0007,-,pubmed:25294943,7227,7227,psi-mi:MI:0914,intact,EBI-9924105,0.445403188134077,31293,42402,32049,23133,18128,245537,anti tag coimmunoprecipitation
P07207,Q24185,NOTCH_DROME(gene name),HOOK_DROME(gene name),-,-,psi-mi:MI:0096,-,pubmed:25294943,7227,7227,psi-mi:MI:0914,intact,EBI-9949445,0.445403188134077,31293,35169,32049,13022,18128,320191,pull down
P20241,Q24418,NRG_DROME(gene name),NMDA1_DROME(gene name),-,-,psi-mi:MI:0096,-,pubmed:25294943,7227,7227,psi-mi:MI:0914,intact,EBI-9962740,0.445403188134077,31792,40665,21041,7187,319504,14810,pull down
O61307,P05130,TENM_DROME(gene name),KPC1_DROME(gene name),-,-,psi-mi:MI:0096,-,pubmed:25294943,7227,7227,psi-mi:MI:0914,intact,EBI-9946542,0.445403188134077,40464,48311,22672,55679,23964,18750,pull down
O61307,Q02748,TENM_DROME(gene name),IF4A_DROME(gene name),-,-,psi-mi:MI:0007|psi-mi:MI:0096,-,pubmed:25294943,7227,7227,psi-mi:MI:0914,intact,EBI-9946542,0.442278192996218,40464,33835,22672,1487,23964,13682,anti tag coimmunoprecipitation | pull down
P07207,Q9VXR5,NOTCH_DROME(gene name),Q9VXR5_DROME(gene name),-,-,psi-mi:MI:0018,-,pubmed:15710747,7227,7227,psi-mi:MI:0407,biogrid,443433,0.438788103758523,31293,32508,32049,21408,18128,27407,two hybrid
Q7YU29,Q9VSJ8,DMDE_DROME(gene name),EXOC7_DROME(gene name),-,-,psi-mi:MI:0018,-,pubmed:15710747,7227,7227,psi-mi:MI:0407,biogrid,443461,0.438788103758523,42327,38959,20856,41019,13405,53413,two hybrid
A1Z7H2,Q9VAL7,A1Z7H2_DROME(gene name),Q9VAL7_DROME(gene name),-,-,psi-mi:MI:0004,-,pubmed:22036573,7227,7227,psi-mi:MI:0915,biogrid,653169,0.436978260328818,46068,44643,3278,1324,74205,12330,affinity chromatography technology
Q9VKY2,Q9VZL3,CAND1_DROME(gene name),Q9VZL3_DROME(gene name),-,-,psi-mi:MI:0004,-,pubmed:22036573,7227,7227,psi-mi:MI:0915,biogrid,651833,0.436978260328818,34403,38457,10202,36231,71902,106529,affinity chromatography technology
Q7K110,Q9VKY2,Q7K110_DROME(gene name),CAND1_DROME(gene name),-,-,psi-mi:MI:0004,-,pubmed:22036573,7227,7227,psi-mi:MI:0915,biogrid,655348,0.436978260328818,37029,34403,2214,10202,20014,71902,affinity chromatography technology
