Gene A Standard Name,Gene B Standard Name,Experiment,Interaction Type,Annotation Type,Gene A Interaction Role,Interaction Method,PubMed ID,Reference,Human Homolog A,Human Homolog B
FOX2,TPK1,"Ptacek J, et al. (2005)-16319894-Biochemical Activity",physical,high-throughput,Hit,Biochemical Activity,16319894,"Ptacek J, et al. (2005) Global analysis of protein phosphorylation in yeast. Nature 438(7068):679-84",157506,27330
SSA1,SSE1,"Polier S, et al. (2008)-18555782-Co-crystal Structure",physical,manually curated,Hit,Co-crystal Structure,18555782,"Polier S, et al. (2008) Structural basis for the cooperation of Hsp70 and Hsp110 chaperones in protein folding. Cell 133(6):1068-79",3312,10808
CCR4,CLB1,"Miller JE, et al. (2018)-29158339-Affinity Capture-RNA",physical,high-throughput,Bait,Affinity Capture-RNA,29158339,"Miller JE, et al. (2018) Genome-Wide Mapping of Decay Factor-mRNA Interactions in Yeast Identifies Nutrient-Responsive Transcripts as Targets of the Deadenylase Ccr4. G3 (Bethesda) 8(1):315-330",25819,85417
SWI5,HHT2,"Gilmore JM, et al. (2012)-22199229-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,22199229,"Gilmore JM, et al. (2012) Characterization of a highly conserved histone related protein, Ydl156w, and its functional associations using quantitative proteomic analyses. Mol Cell Proteomics 11(4):M111.011544",10365,8354
SSA1,GTS1,"Truman AW, et al. (2015)-25452130-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,25452130,"Truman AW, et al. (2015) Quantitative proteomics of the yeast Hsp70/Hsp90 interactomes during DNA damage reveal chaperone-dependent regulation of ribonucleotide reductase. J Proteomics 112:285-300",3312,116987
MSB4,SEC4,Albert S and Gallwitz D (2000)-10937877-Biochemical Activity,physical,manually curated,Bait,Biochemical Activity,10937877,"Albert S and Gallwitz D (2000) Msb4p, a protein involved in Cdc42p-dependent organization of the actin cytoskeleton, is a Ypt/Rab-specific GAP. Biol Chem 381(5-6):453-6",9712,158158
SOR2,SOR1,"Uetz P, et al. (2000)-10688190-Two-hybrid",physical,high-throughput,Bait,Two-hybrid,10688190,"Uetz P, et al. (2000) A comprehensive analysis of protein-protein interactions in Saccharomyces cerevisiae. Nature 403(6770):623-7",54953,131
HSP82,CAM1,"Girstmair H, et al. (2019)-31399574-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,31399574,"Girstmair H, et al. (2019) The Hsp90 isoforms from S. cerevisiae differ in structure, function and client range. Nat Commun 10(1):3626",10131,54332
UBC7,SSM4,"Bagola K, et al. (2013)-23665229-Reconstituted Complex",physical,manually curated,Hit,Reconstituted Complex,23665229,"Bagola K, et al. (2013) Ubiquitin binding by a CUE domain regulates ubiquitin chain formation by ERAD E3 ligases. Mol Cell 50(4):528-39",997,55016
MDL1,GTS1,"Kawabata K, et al. (1999)-9914482-Two-hybrid",physical,manually curated,Hit,Two-hybrid,9914482,"Kawabata K, et al. (1999) Protein interactions of Gts1p of Saccharomyces cerevisiae throughout a region similar to a cytoplasmic portion of some ATP-binding cassette transporters. Eur J Biochem 259(1-2):112-9",6890,55803
IRA2,TPK2,"Galello F, et al. (2014)-25065647-Biochemical Activity",physical,manually curated,Hit,Biochemical Activity,25065647,"Galello F, et al. (2014) Interacting proteins of protein kinase A regulatory subunit in Saccharomyces cerevisiae. J Proteomics 109:261-75",5922,5593
CDC50,DRS2,"Azouaoui H, et al. (2014)-25393116-Affinity Capture-Western",physical,manually curated,Hit,Affinity Capture-Western,25393116,"Azouaoui H, et al. (2014) A high-yield co-expression system for the purification of an intact Drs2p-Cdc50p lipid flippase complex, critically dependent on and stabilized by phosphatidylinositol-4-phosphate. PLoS One 9(11):e112176",161291,5205
NAB2,CDC50,"Batisse J, et al. (2009)-19840948-Affinity Capture-RNA",physical,high-throughput,Bait,Affinity Capture-RNA,19840948,"Batisse J, et al. (2009) Purification of nuclear poly(A)-binding protein Nab2 reveals association with the yeast transcriptome and a messenger ribonucleoprotein core structure. J Biol Chem 284(50):34911-7",79882,55754
PRE1,PUB1,"Verma R, et al. (2000)-11029046-Affinity Capture-MS",physical,manually curated,Bait,Affinity Capture-MS,11029046,"Verma R, et al. (2000) Proteasomal proteomics: identification of nucleotide-sensitive proteasome-interacting proteins by mass spectrometric analysis of affinity-purified proteasomes. Mol Biol Cell 11(10):3425-39",5690,79171
YCF1,YCF1,"Wei W, et al. (2014)-24444374-Affinity Capture-Western",physical,manually curated,Hit,Affinity Capture-Western,24444374,"Wei W, et al. (2014) YCF1-mediated cadmium resistance in yeast is dependent on copper metabolism and antioxidant enzymes. Antioxid Redox Signal 21(10):1475-89",89845,10060
CDC28,CLB3,"Harbauer AB, et al. (2014)-25378463-Reconstituted Complex",physical,manually curated,Bait,Reconstituted Complex,25378463,"Harbauer AB, et al. (2014) Mitochondria. Cell cycle-dependent regulation of mitochondrial preprotein translocase. Science 346(6213):1109-13",983,891
CMD1,MYO2,"Brockerhoff SE, et al. (1994)-8294515-Affinity Capture-Western",physical,manually curated,Bait,Affinity Capture-Western,8294515,"Brockerhoff SE, et al. (1994) The unconventional myosin, Myo2p, is a calmodulin target at sites of cell growth in Saccharomyces cerevisiae. J Cell Biol 124(3):315-23",9478,4646
YOR1,YCK2,"Snider J, et al. (2013)-23831759-PCA",physical,manually curated,Bait,PCA,23831759,"Snider J, et al. (2013) Mapping the functional yeast ABC transporter interactome. Nat Chem Biol 9(9):565-72",10060,1455
MEK1,CTA1,"Fasolo J, et al. (2011)-21460040-Reconstituted Complex",physical,high-throughput,Bait,Reconstituted Complex,21460040,"Fasolo J, et al. (2011) Diverse protein kinase interactions identified by protein microarrays reveal novel connections between cellular processes. Genes Dev 25(7):767-78",166614,847
UBP15,ECM21,"Ho HC, et al. (2017)-28298493-Affinity Capture-Western",physical,manually curated,Bait,Affinity Capture-Western,28298493,"Ho HC, et al. (2017) Deubiquitinating enzymes Ubp2 and Ubp15 regulate endocytosis by limiting ubiquitination and degradation of ARTs. Mol. Biol. Cell 28(9):1271-1283",7874,57561
ALD6,GPM1,"Gavin AC, et al. (2006)-16429126-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,16429126,"Gavin AC, et al. (2006) Proteome survey reveals modularity of the yeast cell machinery. Nature 440(7084):631-6",217,441531
RTT107,RGT2,"Chin JK, et al. (2006)-16569515-Two-hybrid",physical,manually curated,Bait,Two-hybrid,16569515,"Chin JK, et al. (2006) Esc4/Rtt107 and the control of recombination during replication. DNA Repair (Amst) 5(5):618-28",9656,29988
HEK2,SCH9,"Hasegawa Y, et al. (2008)-18805955-Affinity Capture-RNA",physical,high-throughput,Bait,Affinity Capture-RNA,18805955,"Hasegawa Y, et al. (2008) Distinct roles for Khd1p in the localization and expression of bud-localized mRNAs in yeast. RNA 14(11):2333-47",5093,208
RPS8A,RPT5,"Guerrero C, et al. (2008)-18757749-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,18757749,"Guerrero C, et al. (2008) Characterization of the proteasome interaction network using a QTAX-based tag-team strategy and protein interaction network analysis. Proc Natl Acad Sci U S A 105(36):13333-8",6202,5702
GPA1,VPS34,"Slessareva JE, et al. (2006)-16839886-Reconstituted Complex",physical,manually curated,Bait,Reconstituted Complex,16839886,"Slessareva JE, et al. (2006) Activation of the phosphatidylinositol 3-kinase Vps34 by a G protein alpha subunit at the endosome. Cell 126(1):191-203",2773,5286
CDC16,CDC27,"Camasses A, et al. (2003)-12887895-Affinity Capture-Western",physical,manually curated,Bait,Affinity Capture-Western,12887895,"Camasses A, et al. (2003) The CCT chaperonin promotes activation of the anaphase-promoting complex through the generation of functional Cdc20. Mol Cell 12(1):87-100",996,8881
SEC23,LTE1,"Graumann J, et al. (2004)-14660704-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,14660704,"Graumann J, et al. (2004) Applicability of tandem affinity purification MudPIT to pathway proteomics in yeast. Mol Cell Proteomics 3(3):226-37",10483,153020
CDC12,HSL1,Versele M and Thorner J (2004)-14993234-Affinity Capture-Western,physical,manually curated,Bait,Affinity Capture-Western,14993234,"Versele M and Thorner J (2004) Septin collar formation in budding yeast requires GTP binding and direct phosphorylation by the PAK, Cla4. J Cell Biol 164(5):701-15",55752,23387
VPS5,PEP8,"Gokool S, et al. (2007)-17696874-Affinity Capture-Western",physical,manually curated,Bait,Affinity Capture-Western,17696874,"Gokool S, et al. (2007) Identification of a conserved motif required for Vps35p/Vps26p interaction and assembly of the retromer complex. Biochem J 408(2):287-95",6643,9559
CBR1,STE20,"Tiedje C, et al. (2007)-17895367-PCA",physical,manually curated,Hit,PCA,17895367,"Tiedje C, et al. (2007) Proteins involved in sterol synthesis interact with Ste20 and regulate cell polarity. J Cell Sci 120(Pt 20):3613-24",51167,5063
CDC25,MDS3,"Tonikian R, et al. (2009)-19841731-Two-hybrid",physical,high-throughput,Bait,Two-hybrid,19841731,"Tonikian R, et al. (2009) Bayesian modeling of the yeast SH3 domain interactome predicts spatiotemporal dynamics of endocytosis proteins. PLoS Biol 7(10):e1000218",23179,3054
POB3,NHP6A,"Brewster NK, et al. (2001)-11313475-Reconstituted Complex",physical,manually curated,Bait,Reconstituted Complex,11313475,"Brewster NK, et al. (2001) A bipartite yeast SSRP1 analog comprised of Pob3 and Nhp6 proteins modulates transcription. Mol Cell Biol 21(10):3491-502",84969,10362
CDC33,TIF1,"Haimov O, et al. (2018)-29987188-Affinity Capture-Western",physical,manually curated,Hit,Affinity Capture-Western,29987188,"Haimov O, et al. (2018) Dynamic Interaction of Eukaryotic Initiation Factor 4G1 (eIF4G1) with eIF4E and eIF1 Underlies Scanning-Dependent and -Independent Translation. Mol. Cell. Biol. 38(18).",317649,9188
TAF6,TAF1,"Gavin AC, et al. (2006)-16429126-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,16429126,"Gavin AC, et al. (2006) Proteome survey reveals modularity of the yeast cell machinery. Nature 440(7084):631-6",10629,138474
CDC28,CLB3,"Breitkreutz A, et al. (2010)-20489023-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,20489023,"Breitkreutz A, et al. (2010) A global protein kinase and phosphatase interaction network in yeast. Science 328(5981):1043-6",983,8900
TAF5,TAF10,"Krogan NJ, et al. (2006)-16554755-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,16554755,"Krogan NJ, et al. (2006) Global landscape of protein complexes in the yeast Saccharomyces cerevisiae. Nature 440(7084):637-43",27339,6881
OSH3,SCS2,"Riekhof WR, et al. (2014)-24366873-PCA",physical,manually curated,Bait,PCA,24366873,"Riekhof WR, et al. (2014) An assembly of proteins and lipid domains regulates transport of phosphatidylserine to phosphatidylserine decarboxylase 2 in Saccharomyces cerevisiae. J Biol Chem 289(9):5809-19",114881,9217
RAD6,HTB1,"Robzyk K, et al. (2000)-10642555-Biochemical Activity",physical,manually curated,Bait,Biochemical Activity,10642555,"Robzyk K, et al. (2000) Rad6-dependent ubiquitination of histone H2B in yeast. Science 287(5452):501-4",7319,8346
CDC53,CDC4,"Kato M, et al. (2010)-19882662-Affinity Capture-Western",physical,manually curated,Bait,Affinity Capture-Western,19882662,"Kato M, et al. (2010) Remodeling of the SCF complex-mediated ubiquitination system by compositional alteration of incorporated F-box proteins. Proteomics 10(1):115-23",8452,285231
TUF1,CCR4,"Miller JE, et al. (2018)-29158339-Affinity Capture-RNA",physical,high-throughput,Hit,Affinity Capture-RNA,29158339,"Miller JE, et al. (2018) Genome-Wide Mapping of Decay Factor-mRNA Interactions in Yeast Identifies Nutrient-Responsive Transcripts as Targets of the Deadenylase Ccr4. G3 (Bethesda) 8(1):315-330",7284,57472
SSA2,SKG3,"Gong Y, et al. (2009)-19536198-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,19536198,"Gong Y, et al. (2009) An atlas of chaperone-protein interactions in Saccharomyces cerevisiae: implications to protein folding pathways in the cell. Mol Syst Biol 5:275",3304,5062
HTA2,DSN1,"Akiyoshi B, et al. (2010)-21107429-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,21107429,"Akiyoshi B, et al. (2010) Tension directly stabilizes reconstituted kinetochore-microtubule attachments. Nature 468(7323):576-9",85235,79980
HRP1,MOT2,"Kerr SC, et al. (2011)-21464899-Affinity Capture-Western",physical,manually curated,Hit,Affinity Capture-Western,21464899,"Kerr SC, et al. (2011) The Ccr4-Not complex interacts with the mRNA export machinery. PLoS One 6(3):e18302",9987,4850
CAP1,TWF1,"Palmgren S, et al. (2001)-11604420-Reconstituted Complex",physical,manually curated,Hit,Reconstituted Complex,11604420,"Palmgren S, et al. (2001) Interactions with PIP2, ADP-actin monomers, and capping protein regulate the activity and localization of yeast twinfilin. J Cell Biol 155(2):251-60",829,5756
NOP56,HCA4,"Gavin AC, et al. (2002)-11805826-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,11805826,"Gavin AC, et al. (2002) Functional organization of the yeast proteome by systematic analysis of protein complexes. Nature 415(6868):141-7",10528,1662
HHF1,HTB1,"Krogan NJ, et al. (2006)-16554755-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,16554755,"Krogan NJ, et al. (2006) Global landscape of protein complexes in the yeast Saccharomyces cerevisiae. Nature 440(7084):637-43",8370,8345
CIC1,RPL1A,"Gavin AC, et al. (2006)-16429126-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,16429126,"Gavin AC, et al. (2006) Proteome survey reveals modularity of the yeast cell machinery. Nature 440(7084):631-6",26156,4736
EGD2,GAP1,"Van Zeebroeck G, et al. (2011)-21912684-Affinity Capture-Western",physical,manually curated,Hit,Affinity Capture-Western,21912684,"Van Zeebroeck G, et al. (2011) A split-ubiquitin two-hybrid screen for proteins physically interacting with the yeast amino acid transceptor Gap1 and ammonium transceptor Mep2. PLoS One 6(9):e24275",342538,8140
CUP9,DUN1,"Ptacek J, et al. (2005)-16319894-Biochemical Activity",physical,high-throughput,Hit,Biochemical Activity,16319894,"Ptacek J, et al. (2005) Global analysis of protein phosphorylation in yeast. Nature 438(7068):679-84",80714,57172
HHT1,CIN8,"Gilmore JM, et al. (2012)-22199229-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,22199229,"Gilmore JM, et al. (2012) Characterization of a highly conserved histone related protein, Ydl156w, and its functional associations using quantitative proteomic analyses. Mol Cell Proteomics 11(4):M111.011544",3020,9371
VPS74,VPS74,"Schmitz KR, et al. (2008)-18410729-Co-crystal Structure",physical,manually curated,Hit,Co-crystal Structure,18410729,"Schmitz KR, et al. (2008) Golgi localization of glycosyltransferases requires a Vps74p oligomer. Dev Cell 14(4):523-34",55204,55204
ARX1,NMD3,"Bassler J, et al. (2012)-23045392-Affinity Capture-Western",physical,manually curated,Bait,Affinity Capture-Western,23045392,"Bassler J, et al. (2012) The conserved Bud20 zinc finger protein is a new component of the ribosomal 60S subunit export machinery. Mol Cell Biol 32(24):4898-912",23173,51068
HTA2,HHF2,"Krogan NJ, et al. (2006)-16554755-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,16554755,"Krogan NJ, et al. (2006) Global landscape of protein complexes in the yeast Saccharomyces cerevisiae. Nature 440(7084):637-43",85235,8363
MEX67,ARX1,"Bassler J, et al. (2012)-23045392-Affinity Capture-MS",physical,manually curated,Hit,Affinity Capture-MS,23045392,"Bassler J, et al. (2012) The conserved Bud20 zinc finger protein is a new component of the ribosomal 60S subunit export machinery. Mol Cell Biol 32(24):4898-912",55998,7512
PTP1,SLT2,"Sacristán-Reviriego A, et al. (2015)-25736922-Affinity Capture-Western",physical,manually curated,Hit,Affinity Capture-Western,25736922,"Sacristán-Reviriego A, et al. (2015) Identification of putative negative regulators of yeast signaling through a screening for protein phosphatases acting on cell wall integrity and mating MAPK pathways. Fungal Genet Biol 77:1-11",5770,5598
CDH1,HSL1,Burton JL and Solomon MJ (2000)-10848588-Affinity Capture-Western,physical,manually curated,Bait,Affinity Capture-Western,10848588,"Burton JL and Solomon MJ (2000) Hsl1p, a Swe1p inhibitor, is degraded via the anaphase-promoting complex. Mol Cell Biol 20(13):4614-25",991,2011
CDC24,CLA4,"Rapali P, et al. (2017)-28304276-Biochemical Activity",physical,manually curated,Hit,Biochemical Activity,28304276,"Rapali P, et al. (2017) Scaffold-mediated gating of Cdc42 signalling flux. Elife 6",9459,92335
PCS60,VPS34,"Grunau S, et al. (2011)-21121900-Co-fractionation",physical,manually curated,Bait,Co-fractionation,21121900,"Grunau S, et al. (2011) The phosphoinositide 3-kinase Vps34p is required for pexophagy in Saccharomyces cerevisiae. Biochem J 434(1):161-70",65985,5287
SLA1,MGM1,"Tonikian R, et al. (2009)-19841731-Two-hybrid",physical,high-throughput,Bait,Two-hybrid,19841731,"Tonikian R, et al. (2009) Bayesian modeling of the yeast SH3 domain interactome predicts spatiotemporal dynamics of endocytosis proteins. PLoS Biol 7(10):e1000218",2885,4976
HSE1,MYO5,"Tong AH, et al. (2002)-11743162-Two-hybrid",physical,high-throughput,Bait,Two-hybrid,11743162,"Tong AH, et al. (2002) A combined experimental and computational strategy to define protein interaction networks for peptide recognition modules. Science 295(5553):321-4",8027,4542
HTA2,PMT1,"Krogan NJ, et al. (2006)-16554755-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,16554755,"Krogan NJ, et al. (2006) Global landscape of protein complexes in the yeast Saccharomyces cerevisiae. Nature 440(7084):637-43",8331,10585
PAB1,PUS7,"Gavin AC, et al. (2006)-16429126-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,16429126,"Gavin AC, et al. (2006) Proteome survey reveals modularity of the yeast cell machinery. Nature 440(7084):631-6",1993,54517
RPO21,SET2,"Krogan NJ, et al. (2006)-16554755-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,16554755,"Krogan NJ, et al. (2006) Global landscape of protein complexes in the yeast Saccharomyces cerevisiae. Nature 440(7084):637-43",11128,79723
CMK1,ARC1,"Ptacek J, et al. (2005)-16319894-Biochemical Activity",physical,high-throughput,Bait,Biochemical Activity,16319894,"Ptacek J, et al. (2005) Global analysis of protein phosphorylation in yeast. Nature 438(7068):679-84",79012,9255
NSE4,SMC5,"Duan X, et al. (2009)-19141609-Two-hybrid",physical,manually curated,Bait,Two-hybrid,19141609,"Duan X, et al. (2009) Architecture of the Smc5/6 Complex of Saccharomyces cerevisiae Reveals a Unique Interaction between the Nse5-6 Subcomplex and the Hinge Regions of Smc5 and Smc6. J Biol Chem 284(13):8507-15",54780,23137
EUG1,SSO2,"Babu M, et al. (2012)-22940862-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,22940862,"Babu M, et al. (2012) Interaction landscape of membrane-protein complexes in Saccharomyces cerevisiae. Nature 489(7417):585-9",23071,8676
NUG1,NOC3,"Bassler J, et al. (2001)-11583615-Affinity Capture-Western",physical,manually curated,Bait,Affinity Capture-Western,11583615,"Bassler J, et al. (2001) Identification of a 60S preribosomal particle that is closely linked to nuclear export. Mol Cell 8(3):517-29",26354,64318
RCK2,RCK2,Melcher ML and Thorner J (1996)-8939941-Biochemical Activity,physical,manually curated,Hit,Biochemical Activity,8939941,"Melcher ML and Thorner J (1996) Identification and characterization of the CLK1 gene product, a novel CaM kinase-like protein kinase from the yeast Saccharomyces cerevisiae. J Biol Chem 271(47):29958-68",139728,8536
SSE1,HSC82,"Girstmair H, et al. (2019)-31399574-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,31399574,"Girstmair H, et al. (2019) The Hsp90 isoforms from S. cerevisiae differ in structure, function and client range. Nat Commun 10(1):3626",3308,3324
CLN3,CDC28,"Kõivomägi M, et al. (2013)-24186061-Biochemical Activity",physical,manually curated,Hit,Biochemical Activity,24186061,"Kõivomägi M, et al. (2013) Multisite phosphorylation networks as signal processors for Cdk1. Nat Struct Mol Biol 20(12):1415-24",9133,1017
BZZ1,GRR1,"Tong AH, et al. (2002)-11743162-Two-hybrid",physical,high-throughput,Bait,Two-hybrid,11743162,"Tong AH, et al. (2002) A combined experimental and computational strategy to define protein interaction networks for peptide recognition modules. Science 295(5553):321-4",6456,144699
YPT7,MSB3,"Lachmann J, et al. (2012)-22593206-PCA",physical,manually curated,Bait,PCA,22593206,"Lachmann J, et al. (2012) The Msb3/Gyp3 GAP controls the activity of the Rab GTPases Vps21 and Ypt7 at endosomes and vacuoles. Mol Biol Cell 23(13):2516-26",10981,83874
HEK2,YBT1,"Hasegawa Y, et al. (2008)-18805955-Affinity Capture-RNA",physical,high-throughput,Bait,Affinity Capture-RNA,18805955,"Hasegawa Y, et al. (2008) Distinct roles for Khd1p in the localization and expression of bud-localized mRNAs in yeast. RNA 14(11):2333-47",5094,10057
ATG1,HHT1,"Gilmore JM, et al. (2012)-22199229-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,22199229,"Gilmore JM, et al. (2012) Characterization of a highly conserved histone related protein, Ydl156w, and its functional associations using quantitative proteomic analyses. Mol Cell Proteomics 11(4):M111.011544",9641,8355
CKA1,HHT1,"Oh S, et al. (2018)-29938647-Biochemical Activity",physical,manually curated,Bait,Biochemical Activity,29938647,"Oh S, et al. (2018) Histone H3 threonine 11 phosphorylation by Sch9 and CK2 regulates chronological lifespan by controlling the nutritional stress response. Elife (Cambridge) 7",1457,8353
BRE5,PRS3,"Ossareh-Nazari B, et al. (2010)-20508643-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,20508643,"Ossareh-Nazari B, et al. (2010) Cdc48 and Ufd3, new partners of the ubiquitin protease Ubp3, are required for ribophagy. EMBO Rep 11(7):548-54",10146,5635
DHH1,PRP42,"Miller JE, et al. (2018)-29158339-Affinity Capture-RNA",physical,high-throughput,Bait,Affinity Capture-RNA,29158339,"Miller JE, et al. (2018) Genome-Wide Mapping of Decay Factor-mRNA Interactions in Yeast Identifies Nutrient-Responsive Transcripts as Targets of the Deadenylase Ccr4. G3 (Bethesda) 8(1):315-330",11218,55015
HSP26,NAB2,"Batisse J, et al. (2009)-19840948-Affinity Capture-RNA",physical,high-throughput,Hit,Affinity Capture-RNA,19840948,"Batisse J, et al. (2009) Purification of nuclear poly(A)-binding protein Nab2 reveals association with the yeast transcriptome and a messenger ribonucleoprotein core structure. J Biol Chem 284(50):34911-7",8988,79882
PAT1,HXK1,"Mitchell SF, et al. (2013)-23222640-Affinity Capture-RNA",physical,high-throughput,Bait,Affinity Capture-RNA,23222640,"Mitchell SF, et al. (2013) Global analysis of yeast mRNPs. Nat Struct Mol Biol 20(1):127-33",219988,2645
CDC25,TPK1,"Deminoff SJ, et al. (2009)-19364808-Biochemical Activity",physical,manually curated,Hit,Biochemical Activity,19364808,"Deminoff SJ, et al. (2009) Distal recognition sites in substrates are required for efficient phosphorylation by the cAMP-dependent protein kinase. Genetics 182(2):529-39",5863,8986
SMY1,YVC1,"Wang Y, et al. (2012)-22875988-Two-hybrid",physical,high-throughput,Bait,Two-hybrid,22875988,"Wang Y, et al. (2012) Coiled-coil networking shapes cell molecular machinery. Mol Biol Cell 23(19):3911-22",26153,7442
TPK2,TPK3,"Ho Y, et al. (2002)-11805837-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,11805837,"Ho Y, et al. (2002) Systematic identification of protein complexes in Saccharomyces cerevisiae by mass spectrometry. Nature 415(6868):180-3",6196,9252
KAP104,ALD4,"Krogan NJ, et al. (2006)-16554755-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,16554755,"Krogan NJ, et al. (2006) Global landscape of protein complexes in the yeast Saccharomyces cerevisiae. Nature 440(7084):637-43",3842,217
CKA2,SPT23,Siepe D and Jentsch S (2009)-19597489-Affinity Capture-Western,physical,manually curated,Hit,Affinity Capture-Western,19597489,Siepe D and Jentsch S (2009) Prolyl isomerase Pin1 acts as a switch to control the degree of substrate ubiquitylation. Nat Cell Biol 11(8):967-72,1457,136319
DHH1,YTM1,"Jungfleisch J, et al. (2017)-27821408-Affinity Capture-RNA",physical,high-throughput,Bait,Affinity Capture-RNA,27821408,"Jungfleisch J, et al. (2017) A novel translational control mechanism involving RNA structures within coding sequences. Genome Res 27(1):95-106",1656,55759
ISW1,CDC53,"Babour A, et al. (2016)-27863241-Affinity Capture-RNA",physical,high-throughput,Bait,Affinity Capture-RNA,27863241,"Babour A, et al. (2016) The Chromatin Remodeler ISW1 Is a Quality Control Factor that Surveys Nuclear mRNP Biogenesis. Cell 167(5):1201-1214.e15",6594,8450
SRP1,ESA1,"Mitchell L, et al. (2013)-23572591-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,23572591,"Mitchell L, et al. (2013) mChIP-KAT-MS, a method to map protein interactions and acetylation sites for lysine acetyltransferases. Proc Natl Acad Sci U S A 110(17):E1641-50",402569,11143
