Yeast Gene,Entrez,Source
AHA1,10598,Ensembl;HomoloGene;TreeFam
AHP1,25824,Ensembl;Panther;TreeFam
AI3,4512,Panther
AI4,4512,Panther;TreeFam
AI5_ALPHA,4512,Panther;TreeFam
AIF1,84883,TreeFam
AIM10,54148;25973,Panther;Ensembl;HomoloGene;TreeFam
AIM14,53905;50506,Panther
AIM17,8424;55217,Ensembl;Panther;TreeFam
AIM2,134147,Panther;TreeFam
AIM22,51601,Ensembl;Panther;TreeFam
AIM25,5359;57047;57048;57088,Panther;TreeFam
AIM33,51706;51700;1727;51167,Panther
AIM45,80724;84129;33;2108;2639;3712,Panther;Ensembl;HomoloGene;TreeFam
AIM7,2764;9535,Panther;TreeFam
AIP1,9948,Ensembl;HomoloGene;Panther;TreeFam
AKL1,22848,Panther
AKR1,257629;124590;54503;23390,Panther;Ensembl;TreeFam;HomoloGene
AKR2,257629;124590;54503;23390,Panther;Ensembl;TreeFam
ALA1,16;57505;80755,Ensembl;HomoloGene;Panther;TreeFam
ALD2,216;8854;220;219;217,Panther;TreeFam
ALD3,216;8854;220;219;217,Panther;TreeFam
ALD4,126133;216;8854;220;219;10840;160428;217;4329;64577;223,Ensembl;Panther;TreeFam;HomoloGene
ALD5,126133;216;8854;220;219;10840;160428;217;4329;64577;223,Ensembl;Panther;TreeFam;HomoloGene
ALD6,126133;216;8854;220;219;10840;160428;217;4329;64577;223,Ensembl;Panther;TreeFam;HomoloGene
ALE1,10162;154141;129642;619373;79143;64840,Ensembl;Panther;TreeFam;HomoloGene
ALF1,25999;1639;1155,Panther;Ensembl;HomoloGene
ALG1,56052,Ensembl;HomoloGene;Panther;TreeFam
ALG11,440138,Ensembl;HomoloGene;Panther;TreeFam
ALG12,79087,Panther;TreeFam
ALG13,79868,Panther
ALG14,199857,Panther;TreeFam
ALG2,85365,Ensembl;HomoloGene;Panther;TreeFam
ALG3,10195,Ensembl;HomoloGene;Panther;TreeFam
ALG5,29880;8813,Ensembl;HomoloGene;Panther;TreeFam
ALG6,29929,Ensembl;HomoloGene;Panther;TreeFam
ALG7,1798,Ensembl;HomoloGene;Panther;TreeFam
ALG8,79053,Ensembl;HomoloGene;Panther;TreeFam
ALG9,79796,Ensembl;HomoloGene;Panther;TreeFam
ALK1,83903;3654;3656;11213;51135,Panther
ALK2,83903;3654;3656;11213;51135,Panther
ALP1,56301;23657;8140;9057;9056;23428;11136,Panther
ALT1,883;56267;2875;84706,Panther;Ensembl;TreeFam;HomoloGene
ALT2,883;56267;2875;84706,Panther;Ensembl;HomoloGene;TreeFam
ALY1,57561;10628,Panther
ALY2,57561;10628,Panther
AMA1,991,Panther
AMD1,270;271;272,Ensembl;Panther;TreeFam;HomoloGene
AMD2,2166;158584,Ensembl;Panther;TreeFam
AMS1,4123,Ensembl;HomoloGene;Panther;TreeFam
ANB1,1984;56648,Ensembl;Panther;TreeFam
ANT1,8604;10165,Panther
AOS1,10055,Ensembl;HomoloGene;Panther;TreeFam
APA1,84808,Panther
APA2,84808,Panther
APC1,64682,Ensembl;Panther
APC11,51529,Ensembl;HomoloGene;Panther;TreeFam
APC2,29882,Ensembl;Panther
APC4,29945,Panther
APC5,51433,Panther
APE1,23549,Panther
APE2,290;2028;51752;64167;4012;206338;9520;29953,Ensembl;Panther;HomoloGene;TreeFam
APE3,79956,Panther
APE4,23549,Ensembl;HomoloGene;Panther;TreeFam
APJ1,10294;55735,TreeFam;Ensembl
APL1,162;163,Panther;TreeFam
APL2,162;163;10717,Ensembl;Panther;TreeFam
APL3,160;161,Ensembl;Panther;TreeFam
APL4,164;8906;23431,Ensembl;Panther;TreeFam;HomoloGene
APL5,8943,Ensembl;HomoloGene;Panther;TreeFam
APL6,8546;8120,Ensembl;Panther
APM1,8907;10053;1173;26985;10947;9179,Ensembl;HomoloGene;Panther;TreeFam
APM2,1173,TreeFam
APM3,11037;85439,Panther
APM4,1173,Panther;TreeFam
APN2,328;27301,Ensembl;Panther;TreeFam
APS1,1174;8905;130340;1175;11154,Ensembl;HomoloGene;Panther
APS2,1175,HomoloGene;Panther;TreeFam
APS3,1176;10239;11154,HomoloGene;Panther;Ensembl;TreeFam
APT1,353,Ensembl;HomoloGene;Panther;TreeFam
APT2,353,Ensembl;Panther;TreeFam
AQY1,358;359;361;362;363;343;4284,Ensembl;Panther;TreeFam
AQY2,358;359;361;363;343;4284,Ensembl;Panther
AQY3,89872;360;364;366,Ensembl;Panther;TreeFam;HomoloGene
ARA1,7881;8514;9196,Panther
ARA2,7881;8514;9196,Panther
ARB1,10061,Ensembl;HomoloGene;Panther;TreeFam
ARC1,9255,Ensembl;Panther;TreeFam
ARC15,10092,Panther
ARC18,10094,Ensembl;HomoloGene;Panther;TreeFam
ARC19,10093,HomoloGene;Panther
ARC35,10109,Ensembl;Panther;TreeFam
ARC40,10552;10095,Ensembl;HomoloGene;Panther;TreeFam
ARD1,8260,Panther;TreeFam
ARE1,8694;6646;8435,Ensembl;TreeFam
ARE2,8694;6646;8435,Ensembl;TreeFam
ARF1,375;377;378;381;382;115761;80117;10124;10123;379;221079;373,Ensembl;Panther;TreeFam
ARF2,375;377;378;381;382;115761;80117;10124;10123;379;221079;373,Ensembl;Panther;TreeFam
ARF3,382;115761;402;403,HomoloGene;Panther;TreeFam;Ensembl
ARG1,445,Ensembl;HomoloGene;Panther;TreeFam
ARG2,162417,Panther
ARG3,5009,Ensembl;HomoloGene;Panther;TreeFam
ARG4,435;2271,Ensembl;HomoloGene;Panther
"ARG5,6",162417,Ensembl;Panther;TreeFam
ARG8,64902;64850;85007,Ensembl
ARG80,6722,Ensembl;Panther
ARG82,9807;51447;117283;253430,Panther;TreeFam
ARH1,2232,Ensembl;Panther;TreeFam
ARI1,2762,Panther
ARK1,22848,Panther
ARL1,400;84100;127829;55207,Ensembl;HomoloGene;Panther;TreeFam
ARL3,10139;200894,Ensembl;HomoloGene;Panther;TreeFam
ARO10,10994,Panther
ARO8,51166;883;56267,Ensembl;TreeFam;Panther
ARO9,51166;883;56267,TreeFam;Panther
ARP1,10881;10121;10120,Ensembl;Panther;TreeFam;HomoloGene
ARP10,10096,Panther
ARP2,10097,Ensembl;HomoloGene;Panther;TreeFam
ARP3,10096,Ensembl;HomoloGene;Panther;TreeFam
ARP4,60;345651;71;86;51412;139741;140625;84517;440915,Panther;Ensembl;HomoloGene
ARP7,60;345651;71;10121;10120;139741;140625;84517;440915,Panther;TreeFam
ARP9,10121;10120,Panther
ART5,57561;10628,Panther
ARV1,64801,Panther;TreeFam
ARX1,23173;254042;5036;5184;7511;7512;63929,Panther;TreeFam
ASA1,54584,Panther
ASC1,317;10399,Ensembl;HomoloGene;Panther;TreeFam
ASE1,9055,Panther
ASF1,25842;55723,Ensembl;HomoloGene;Panther;TreeFam
ASH1,100125288,Panther
ASM4,129401,Panther
ASN1,440,Ensembl;Panther;TreeFam
ASN2,440,Ensembl;Panther;TreeFam
AST1,6652;9540,Panther
AST2,6652;9540,Panther
ATE1,11101,Ensembl;Panther;TreeFam
ATG1,1147;3551;9641;27148;29110;8408;9706;25989,Ensembl;Panther
ATG11,9821,Panther
ATG12,9140,Panther;TreeFam
ATG13,9776,Panther
ATG16,55054,Panther
ATG18,55062;26100,Ensembl;Panther;HomoloGene
ATG2,23130;55102,Ensembl;Panther
ATG20,8723,Panther;TreeFam
ATG21,55062;26100,Panther;TreeFam
ATG3,64422,Ensembl;Panther;TreeFam
ATG4,115201;23192;84938;84971,Ensembl;HomoloGene;Panther;TreeFam
ATG42,5476,Ensembl;TreeFam
ATG5,9474,Ensembl;Panther;TreeFam
ATG7,10533,Ensembl;HomoloGene;Panther;TreeFam
ATG8,11337;23710;11345;84557;81631;440738,TreeFam;Ensembl;HomoloGene;Panther
ATG9,79065;285973,Ensembl;Panther;TreeFam
ATM1,10058;22,Ensembl;HomoloGene;TreeFam
ATP1,498;506,Ensembl;HomoloGene;Panther;TreeFam
ATP11,64756,Ensembl;Panther;TreeFam
ATP12,91647,HomoloGene;Panther;TreeFam
ATP15,514,Panther
ATP16,513,Ensembl;HomoloGene;Panther;TreeFam
ATP2,506,Ensembl;HomoloGene;Panther
ATP3,509,Ensembl;HomoloGene;Panther;TreeFam
ATP4,515,Panther;TreeFam
ATP5,539,Ensembl;HomoloGene;Panther;TreeFam
ATP6,4508,Panther;TreeFam
ATS1,26297,HomoloGene;TreeFam
ATX1,475,Panther;TreeFam
AUS1,9619;64137,Panther
AVL9,23080,Ensembl;Panther;TreeFam
AVO1,79109,Panther
AVO2,79722,Ensembl
AVT1,8504;140679;206358;153201;285641;120103;55238;146167,Panther;Ensembl;TreeFam
AVT2,81539;124565;151258;54407;10991;55089;92745;145389;153129,Ensembl;HomoloGene;Panther;TreeFam
AVT3,206358;153201;285641;120103,Ensembl;HomoloGene;TreeFam
AVT4,206358;153201;285641;120103,Ensembl;TreeFam;HomoloGene
AVT5,81539;124565;54407;10991;55089;92745;145389;55238;146167,Panther;TreeFam;Ensembl
AVT6,81539;124565;54407;10991;55089;92745;145389;55238;146167,Panther;TreeFam;Ensembl
AVT7,81539;124565;54407;10991;55089;92745;145389;55238;146167,Panther;TreeFam;Ensembl
AXL1,3416,Panther
AXL2,29992;29990,Panther
AYR1,1666;51635;25979;201140;3290;3294,Panther
AZF1,389549;55079,TreeFam
BAG7,58504;83478;9938;9411;51291;23526,Panther
BAP2,56301;23657;8140;9057;9056;23428;11136,Panther
BAP3,56301;23657;8140;9057;9056;23428;11136,Panther
BAR1,23621;25825;1510;643834;643847;5222;5225,Panther;TreeFam
BAS1,4602;4603;4605;6621,Ensembl
BAT1,586;587,Ensembl;Panther;TreeFam;HomoloGene
BAT2,586;587,Ensembl;HomoloGene;Panther;TreeFam
BBC1,5662;23550;153769,Panther
BCD1,9326,Panther
BCK1,4214;10746;4215;29959;340371;65125;65268;65267;65266,Ensembl
BCP1,56647,Panther;TreeFam
BCS1,617,Ensembl;HomoloGene;Panther;TreeFam
BCY1,5573;5575;5576;5577,Ensembl;Panther;TreeFam;HomoloGene
BDF1,11177;6046;8019;23476;676;1387;2033,Panther;Ensembl
BDF2,11177;6046;8019;23476;676;1387;2033,Panther;Ensembl
BDH1,6652;9540,Panther
BDH2,6652;9540,Panther
BDP1,55814,Ensembl;Panther
BDS1,23474;3029;25953,Panther
BEM2,79658;94134;55843;57584;57636;23092;201176;2909;143872;64333;1123;1124;51291;23526;4983;29127,Ensembl;Panther
BEM3,1123,TreeFam
BEM4,5910,Panther
BER1,402055,Panther
BET1,10282;51272,Panther;TreeFam
BET2,5229;5876,Ensembl;HomoloGene;Panther;TreeFam
BET3,27095;100128327,Ensembl;HomoloGene;Panther;TreeFam
BET4,5875,Ensembl;Panther
BET5,58485,Ensembl;Panther;TreeFam
BFR2,26574,Ensembl;Panther;TreeFam
BI2,4519,Panther
BI3,4519,Panther
BI4,4519,Panther
BIK1,6249;7461,Panther
BIM1,22919;10982;22924,Ensembl;HomoloGene;Panther
BIO5,56301;23657;8140;9057;9056;23428;11136,Panther
BIR1,329;330;332;79444;58484;331,Panther
BLM10,23198,Panther
BMH1,2810;7529;7531;7532;7533;10971;7534,Ensembl;TreeFam;HomoloGene;Panther
BMH2,2810;7529;7531;7532;7533;10971;7534,Ensembl;TreeFam;HomoloGene;Panther
BMS1,9790,Ensembl;HomoloGene;Panther;TreeFam
BNA1,23498,Ensembl;HomoloGene;Panther
BNA2,3620;169355,HomoloGene;Panther;TreeFam;Ensembl
BNA3,51166;84680;883;56267;2875;84706;6898,Panther;Ensembl;TreeFam;HomoloGene
BNA4,51004;8564,Panther;Ensembl;HomoloGene;TreeFam
BNA5,8942,Ensembl;HomoloGene;Panther;TreeFam
BNA6,23475,HomoloGene;Panther;TreeFam
BNI1,64423,TreeFam
BNI4,221692;9749;116154;65979,Panther
BNR1,1729;1730;81624;29109;80206;752;114793;91010;392862;64423;57698,Panther
BOI1,4703;10529;5662;23550;153769,TreeFam;Panther
BOI2,4703;10529,TreeFam
BOL1,51027;552900;388962,Ensembl;Panther;TreeFam
BOL2,51027;552900;388962,Panther;TreeFam
BOL3,51027;552900;388962,Panther;Ensembl;TreeFam
BOR1,6521;57282;83959;6522;6508;8671;57835;9497;9498;83697,Ensembl;HomoloGene
BOS1,9570,Panther
BPH1,987;1130;26960;65065;23218;8439;57705,Ensembl;Panther
BPL1,3141,Ensembl;Panther;TreeFam
BPT1,4363;89845;85320;94160;1244;8714;10257;10057;368;6833;10060;1080,Panther;TreeFam
BRE1,56254;9810,Ensembl;Panther
BRE2,9070,Panther
BRE5,10146,Panther
BRF1,2972;55290,Ensembl;HomoloGene;Panther;TreeFam
BRN1,23397,Ensembl;Panther;TreeFam
BRO1,25930;114822,TreeFam
BRR2,23020,HomoloGene;TreeFam
BSD2,80762;54602,Panther
BST1,80055,Ensembl;Panther;TreeFam
BTS1,9453,Ensembl;HomoloGene;Panther;TreeFam
BTT1,689,Ensembl;Panther;TreeFam
BUB1,699;701,Ensembl;Panther
BUB2,23637;9910,Panther
BUB3,9184,Panther;TreeFam
BUD14,51517,Panther
BUD16,8566,Ensembl;Panther;TreeFam
BUD17,8566,Ensembl;Panther;TreeFam
BUD2,153090;5921;5922;22821;10156;8437;9462;64926;8831,Ensembl;Panther
BUD22,153443,Panther
BUD23,114049,Ensembl;HomoloGene;Panther;TreeFam
BUD27,84246,Panther
BUD31,8896,Ensembl;HomoloGene;Panther;TreeFam
BUD32,112858,Ensembl;HomoloGene;Panther;TreeFam
BUD5,2889;6654;6655,Panther
BUD6,80725,Panther
BUR6,10589,Ensembl;Panther
BXI1,23017;2907;64114,Ensembl
BYE1,11083;23469,Panther
BZZ1,29993;11252;29763;6455;6456;6457,TreeFam;Panther
CAB1,53354;80025;79646;55229,Ensembl;Panther;TreeFam;HomoloGene
CAB2,79717,HomoloGene;Panther;TreeFam
CAB3,60490,Ensembl;Panther;TreeFam
CAB4,80347,Ensembl
CAC2,8208,Panther;TreeFam
CAD1,22926;1388;286319,Panther
CAF120,5062,Panther
CAF4,157574;285231;57599,Panther;Ensembl
CAF40,9125,Ensembl;HomoloGene;Panther;TreeFam
CAJ1,3301;64215,Panther
CAK1,23097;1024;149420;140901,Panther;Ensembl
CAM1,9521;1937;54332;2954,Panther;Ensembl
CAN1,56301;23657;8140;9057;9056;23428;11136,Panther
CAP1,829;830;93661,Ensembl;Panther;TreeFam;HomoloGene
CAP2,832,Ensembl;HomoloGene;Panther;TreeFam
CAR1,383;384,Ensembl;HomoloGene;Panther;TreeFam
CAR2,4942,Ensembl;HomoloGene;Panther;TreeFam
CAT2,1103;1374;1375;126129;1384;54677,Ensembl;Panther;TreeFam;HomoloGene
CAT5,10229,Ensembl;HomoloGene;Panther;TreeFam
CAX4,57171,Ensembl;HomoloGene;Panther;TreeFam
CBC2,22916,Ensembl;Panther;TreeFam
CBF1,4149;4286;7030;7942;22797;7391;7392,TreeFam;Panther
CBF5,1736,Ensembl;HomoloGene;Panther;TreeFam
CBK1,8476;9578;55561;11113;1760;9113;26524;9475;11329;23012,Ensembl;Panther;TreeFam;HomoloGene
CBP3,55245,Ensembl;Panther;TreeFam
CBR1,51706;51700;1727;51167,Ensembl;Panther;HomoloGene
CCA1,51095,Ensembl;Panther
CCC2,538;540,Ensembl;HomoloGene;Panther;TreeFam
CCH1,8913;8912;8911;378807;259232;6336;11280;6323;6326;6328;6329;6331;6332;6334;6335;53373;219931,TreeFam;Panther;Ensembl
CCL1,902,Ensembl;Panther;TreeFam
CCR4,57472;25819,Ensembl;Panther;TreeFam
CCS1,9973,HomoloGene;Panther;TreeFam
CCT2,10576,Ensembl;HomoloGene;Panther;TreeFam
CCT3,166379;7203;8195,Panther;Ensembl;HomoloGene;TreeFam
CCT4,10575,Ensembl;HomoloGene;Panther;TreeFam
CCT5,22948,Ensembl;HomoloGene;Panther;TreeFam
CCT6,908;10693,Ensembl;HomoloGene;Panther;TreeFam
CCT7,10574,Ensembl;HomoloGene;Panther;TreeFam
CDC1,65258,Ensembl;Panther
CDC10,124404;55964;10801,Panther;TreeFam;HomoloGene
CDC11,1731;151011;55752;346288;4735;5414;5413;23157;989;23176,Panther;TreeFam
CDC12,1731;151011;55752;346288;4735;5414;5413;23157;989;23176,Panther;TreeFam;HomoloGene
CDC13,25913,Panther
CDC14,8556;8555,Ensembl;Panther;TreeFam
CDC15,9020;389840;4217;9064;1326,Ensembl
CDC16,51434;8881;8697;996,Panther;Ensembl;HomoloGene;TreeFam
CDC19,5313;5315,Ensembl;Panther;TreeFam;HomoloGene
CDC20,991,HomoloGene;Panther;TreeFam
CDC21,7298,Ensembl;HomoloGene;Panther;TreeFam
CDC23,51434;8881;8697;996,Panther;Ensembl;HomoloGene;TreeFam
CDC24,115557;50649;55701;9459;8874;23229;2245;221472;121512;8997;4168;23263;64857;25894;57580;221178;7074;26230;7204;7409;7410;10451,Panther;Ensembl;TreeFam
CDC25,5900;9649;2889;5923;5924;23179;5863;266747;6654;6655,Ensembl;TreeFam
CDC27,51434;8881;8697;996,Panther;Ensembl;TreeFam
CDC28,983;1017;1018;1019;1021,Ensembl;TreeFam;HomoloGene;Panther
CDC3,1731;151011;55752;346288;5414;5413;23157;989;641977;23176,Panther;HomoloGene;TreeFam
CDC31,1068;1070,Ensembl;HomoloGene;Panther;TreeFam
CDC33,1977;9470;317649,Panther;Ensembl
CDC34,54926,HomoloGene
CDC36,4848,Ensembl;HomoloGene;Panther
CDC37,11140;55664,Panther
CDC39,23019,Ensembl;Panther;TreeFam
CDC4,157574;285231;55294,Panther;TreeFam
CDC40,51362,Ensembl;Panther;TreeFam
CDC42,998;5879;5880;5881;391;399;57381;58480,Ensembl;HomoloGene;TreeFam;Panther
CDC43,5229,Panther;TreeFam
CDC45,8318,Ensembl;HomoloGene;Panther;TreeFam
CDC48,7415,Ensembl;HomoloGene;Panther;TreeFam
CDC5,5347;10769;1263;10733,Ensembl;HomoloGene;Panther;TreeFam
CDC50,55754;161291;644444,Ensembl;Panther;TreeFam
CDC53,8454;8453;8452;8451;8450;8065,Ensembl;Panther;TreeFam
CDC55,5520;5521;5522;55844,Ensembl;Panther;TreeFam;HomoloGene
CDC6,990;4998,Panther;Ensembl
CDC60,51520;92935,Ensembl;HomoloGene;Panther;TreeFam
CDC7,8317,Ensembl;Panther;TreeFam
CDC73,79577,Ensembl;Panther
CDC8,1841,Ensembl;HomoloGene;Panther;TreeFam
CDC9,3978;3980,Ensembl;HomoloGene;Panther;TreeFam
CDD1,978,Ensembl;HomoloGene;Panther;TreeFam
CDH1,991;51343,Ensembl;HomoloGene;Panther
CDS1,1040;8760,Ensembl;HomoloGene;Panther;TreeFam
CEF1,988;6621,Ensembl;TreeFam;Panther
CEG1,8446;8732,Panther
CEM1,2194;54995,Ensembl;HomoloGene;Panther
CEX1,57410;57147,Ensembl;Panther;TreeFam
CFD1,10101,Ensembl;HomoloGene;Panther;TreeFam
CFT1,29894,Ensembl;Panther;TreeFam
CFT2,53981,Panther;TreeFam
CGI121,51002,Ensembl;Panther;TreeFam
CGR1,79080,Panther
CHA1,10993,Ensembl;Panther;TreeFam
CHC1,1213;8218,Ensembl;HomoloGene;Panther;TreeFam
CHD1,1105;1106;1107;1108;26038;84181;55636;57680,Ensembl;HomoloGene;Panther;TreeFam
CHK1,1111;65975,Ensembl;HomoloGene;Panther
CHL1,83990;1663;440081;51750,Ensembl;HomoloGene;Panther;TreeFam
CHL4,55839,Panther
CHM7,79643,Panther
CHS5,11073,Panther
CIA1,9391,HomoloGene;Panther;TreeFam
CIA2,51647,Ensembl;HomoloGene;Panther;TreeFam
CIC1,26156,Panther
CIN1,6904,Panther
CIN10,81031;114134,Ensembl;Panther
CIN2,6903,Panther
CIN4,402,Panther;TreeFam
CIN5,1386;11016,Panther
CIN8,1062;3832;57576;55605;23046;55582;11127;9371;3797;24137;285643;3798;3799;3800;374654,Ensembl;Panther;TreeFam
CIR1,2109,Ensembl;HomoloGene;Panther;TreeFam
CIR2,2110,Ensembl;HomoloGene;Panther;TreeFam
CIT1,1431,Panther;TreeFam
CIT2,1431,Ensembl;HomoloGene;Panther;TreeFam
CIT3,1431,Panther;TreeFam
CKA1,1457;1459,Panther;TreeFam;HomoloGene
CKA2,1457;1459,Ensembl;HomoloGene;Panther;TreeFam
CKB1,1460,Panther;TreeFam
CKB2,1460,Ensembl;HomoloGene;Panther
CKI1,1119;1120;55500;55224,Ensembl;Panther;TreeFam
CKS1,1163;1164,Ensembl;Panther
CLA4,9943;5058;5062;5063;27347;92335;55437,Ensembl;TreeFam;Panther
CLB1,8900;890;891;9133;85417;595;894;896;898;9134;899;10309,Ensembl;Panther;TreeFam
CLB2,8900;890;891;9133;85417;595;894;896;898;9134;899;10309,Ensembl;Panther;TreeFam;HomoloGene
CLB3,8900;890;891;9133;85417;595;894;896;898;9134;899;10309,Ensembl;Panther;HomoloGene;TreeFam
CLB4,8900;890;891;9133;85417;595;894;896;898;9134;899;10309,Ensembl;Panther;TreeFam
CLB5,8900;890;891;9133;85417;595;894;896;898;9134;899;10309,Ensembl;Panther;TreeFam
CLB6,8900;890;891;9133;85417;595;894;896;898;9134;899;10309,Ensembl;Panther;TreeFam
CLC1,1211;1212,Panther
CLD1,51099;94009,Panther;TreeFam
CLF1,51340,Ensembl;Panther;TreeFam
CLN1,890;891;9133;85417;898;9134;899;10309,Panther
CLN2,890;891;9133;85417;898;9134;899;10309,Panther
CLN3,890;891;9133;85417;898;9134;899;10309,Panther
CLP1,10978,Ensembl;Panther;TreeFam
CLU1,23277,Ensembl;Panther;TreeFam
CMD1,9478;51475;57010;801;805;808;51806;163688;7134;7125,Ensembl;Panther
CMK1,8536;57118;57172;815;816;817;818;79012;139728;5681,Ensembl;TreeFam;HomoloGene;Panther
CMK2,8536;57118;57172;815;816;817;818;79012;139728;5681,Ensembl;HomoloGene;TreeFam;Panther
CMP2,5530;5532;5533,Ensembl;Panther;TreeFam;HomoloGene
CMR2,23181;57609;22982,Ensembl;Panther
CNA1,5530;5532;5533,Ensembl;HomoloGene;Panther;TreeFam
CNB1,11261;10519;10518;117286;130106;5534;5535;54997;116143,Ensembl;Panther;HomoloGene;TreeFam
CNE1,811;125972;821;1047,Ensembl;Panther;TreeFam
CNS1,7268,Ensembl;HomoloGene
COA4,51287,Panther;TreeFam
COA6,388753,Panther;TreeFam
COB,4519,HomoloGene;Panther
COF1,1072;1073;11034,Ensembl;Panther;TreeFam;HomoloGene
COG1,9382,Panther
COG3,83548,Ensembl;Panther
COG4,25839,Ensembl;Panther;TreeFam
COG5,10466,Panther
COG6,57511,Ensembl;Panther
COG8,84342,Panther
COM2,2122;63976,Ensembl
COP1,1314;6801;29966;29888,Ensembl;HomoloGene;Panther;TreeFam
COQ1,23590;57107,Ensembl;HomoloGene;Panther;TreeFam
COQ2,27235,Ensembl;HomoloGene;Panther;TreeFam
COQ3,57412;51805;84274;155368,Panther;Ensembl;HomoloGene;TreeFam
COQ4,51117,Ensembl;HomoloGene;Panther;TreeFam
COQ5,51805;84274;155368,Panther;Ensembl;HomoloGene
COQ6,51004;8564,Ensembl;HomoloGene;Panther;TreeFam
COQ8,56997;79934,Ensembl;HomoloGene;Panther;TreeFam
COQ9,57017,Ensembl;HomoloGene;Panther
COR1,9512;7384;7385,Panther;TreeFam
COT1,7779;55532;7780;7781;169026,Panther;TreeFam;Ensembl
COX1,4512,HomoloGene;Panther;TreeFam
COX10,1352,Ensembl;Panther;TreeFam
COX11,1353;64745,Ensembl;HomoloGene;Panther;TreeFam
COX12,1340,Ensembl;HomoloGene;Panther;TreeFam
COX13,1337;1339,Panther;TreeFam
COX15,1355,HomoloGene;Panther;TreeFam
COX16,55333,Panther
COX17,10063,Panther;TreeFam
COX18,285521,Panther
COX19,90639,Panther;TreeFam
COX2,4513,HomoloGene;Panther;TreeFam
COX20,116228,Panther
COX23,79145,Panther
COX3,4514,HomoloGene;Panther;TreeFam
COX4,1329,Panther;TreeFam
COX5A,1327;84701,Panther
COX5B,1327;84701,Panther
COX6,9377,Panther;TreeFam
COX8,1350,Panther
COY1,1523;23316,Panther
CPA1,790;1373;5009,Panther
CPA2,790;1373,Ensembl;Panther;TreeFam
